,site,plot,tag,species,dbh,high.rep,molecular,longitude,latitude,time.point,days_elapsed,years_elapsed,litterMass,dowelMass,mass.loss.litter,percent.loss.litter,mass.loss.dowel,percent.loss.dowel,k_litter,VWC,pH,WHC,SIR,soil.N,soil.C,soil.CN,litter.d15N,litter.d13C,litter.N,litter.C,litter.CN,lignin.N
47,BART,11,508,FAGR,41,TRUE,TRUE,-71.28541055,44.06287865,2,630,1.726027397,4.5213,1.8998,1.724563835,27.61129414,0.1522,7.417153996,0.187204384,39.7,4.5,0.594911709,9.857681086,0.506452573,10.9083662,21.53877143,-2.8,-28.4,0.6,46.5,77.5,39.83333333
48,BART,11,509,FAGR,41,TRUE,TRUE,-71.28541055,44.06287865,2,630,1.726027397,4.2679,1.3296,1.857176699,30.32087254,0.8304,38.44444444,0.20930686,39.7,4.5,0.594911709,9.857681086,0.506452573,10.9083662,21.53877143,-2.8,-28.4,0.6,46.5,77.5,39.83333333
49,BART,11,512,FAGR,41,TRUE,TRUE,-71.28541055,44.06287865,2,630,1.726027397,3.8328,1.8835,2.432545631,38.82540205,0.6275,24.99004381,0.284722102,39.7,4.5,0.594911709,9.857681086,0.506452573,10.9083662,21.53877143,-2.8,-28.4,0.6,46.5,77.5,39.83333333
50,BART,11,514,FAGR,41,TRUE,TRUE,-71.28541055,44.06287865,1,280,0.767123288,4.884355161,2.186438865,1.3303378,21.40633188,0.090561135,3.977212771,0.314003045,39.7,4.5,0.594911709,9.857681086,0.506452573,10.9083662,21.53877143,-2.8,-28.4,0.6,46.5,77.5,39.83333333
51,BART,11,515,FAGR,41,TRUE,TRUE,-71.28541055,44.06287865,1,280,0.767123288,4.944939175,2.123751722,1.211308398,19.67608325,0.144248278,6.360153358,0.285616107,39.7,4.5,0.594911709,9.857681086,0.506452573,10.9083662,21.53877143,-2.8,-28.4,0.6,46.5,77.5,39.83333333
52,BART,11,516,FAGR,41,TRUE,TRUE,-71.28541055,44.06287865,2,630,1.726027397,2.926456184,2.16015311,3.237584108,52.5237337,0.17084689,7.329338927,0.431592371,39.7,4.5,0.594911709,9.857681086,0.506452573,10.9083662,21.53877143,-2.8,-28.4,0.6,46.5,77.5,39.83333333
53,BART,11,517,FAGR,41,TRUE,TRUE,-71.28541055,44.06287865,2,630,1.726027397,3.7375,1.4617,2.469400243,39.78475803,0.6443,30.59354226,0.293879852,39.7,4.5,0.594911709,9.857681086,0.506452573,10.9083662,21.53877143,-2.8,-28.4,0.6,46.5,77.5,39.83333333
54,BART,11,518,FAGR,41,TRUE,TRUE,-71.28541055,44.06287865,1,280,0.767123288,4.417721373,2.346638914,1.824246102,29.22549836,0.002361086,0.100514525,0.450607356,39.7,4.5,0.594911709,9.857681086,0.506452573,10.9083662,21.53877143,-2.8,-28.4,0.6,46.5,77.5,39.83333333
55,BART,12,79,TSCA,43.7,FALSE,FALSE,-71.28552037,44.06295938,2,649,1.778082192,3.1012,1.1682,2.141009052,40.84173352,0.9558,45,0.295235987,43.81111111,4.41,0.59614432,7.214446327,0.653120804,14.24615148,21.81242949,-2.8,-32.9,1.3,49.6,38.15384615,13.07692308
56,BART,12,81,TSCA,43.7,FALSE,FALSE,-71.28552037,44.06295938,1,299,0.819178082,3.713500124,2.335789956,1.621327462,30.39137508,0.112210044,4.583743608,0.442250242,43.81111111,4.41,0.59614432,7.214446327,0.653120804,14.24615148,21.81242949,-2.8,-32.9,1.3,49.6,38.15384615,13.07692308
57,BART,13,82,FAGR,42.8,FALSE,FALSE,-71.28468799,44.06149491,1,299,0.819178082,4.961195882,1.231321985,0.669874225,11.89603774,1.054678015,46.13639609,0.154609458,11.33333333,4.15,0.65880271,12.42478212,0.505066036,19.81413251,39.23077598,-2.6,-29.1,0.7,46.6,66.57142857,34.14285714
